Id;Article_link;Article_title;Articile_date;Article_author_name;Article_topics;Article_main_sub_domain;Article_source
773;https://www.silicon.fr/qualite-donnees-principaux-fournisseurs-419967.html;Qualité des données : qui sont les principaux fournisseurs ?;16/11/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
835;https://www.silicon.fr/brandvoice/comment-accelerer-sa-strategie-de-protection-des-donnees;Comment accélérer sa stratégie de protection des données ?;10/11/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
754;https://www.silicon.fr/brandvoice/comment-repondre-aux-problematiques-environnementales-de-la-data;Comment répondre aux problématiques environnementales de la data ?;10/11/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
546;https://www.silicon.fr/brandvoice/schrems-ii-ce-que-les-recommandations-du-cepd-et-les-cct-modernisees-signifient-pour-vous;Schrems II : ce que les recommandations du CEPD et les CCT modernisées signifient pour vous ?;10/11/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
985;https://www.silicon.fr/brandvoice/modern-data-stack-comment-une-architecture-data-moderne-ameliore-les-capacites-danalyse;Modern Data Stack : comment une architecture data moderne améliore les capacités d’analyse ?;10/11/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
771;https://www.silicon.fr/brandvoice/lagilite-un-pre-requis-pour-le-management-des-donnees-de-demain;L’agilité, un pré-requis pour le management des données de demain;10/11/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
836;https://www.silicon.fr/brandvoice/comment-valoriser-la-dark-data-pour-mieux-piloter-son-business;Comment valoriser la dark data pour mieux piloter son business ?;10/11/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
802;https://www.silicon.fr/brandvoice/liebherr-aerospace-toulouse-realise-sa-migration-vers-project-server-2016-avec-campana-schott;Liebherr-Aerospace Toulouse réalise sa migration vers Project Server 2016 avec Campana & Schott;27/01/2020;Microsoft;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
399;https://www.silicon.fr/bi-google-ouverture-looker-420015.html;BI : Google joue l’ouverture avec Looker;09/11/2021;Clément Bohic;Data;Business Intelligence ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
749;https://www.silicon.fr/qualite-donnees-surveiller-offreurs-419955.html;Qualité des données : que surveiller chez les offreurs ?;08/11/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
672;https://www.silicon.fr/ia-cloud-oracle-ofre-services-autonomes-419879.html;IA cloud : Oracle structure une offre de services autonomes;05/11/2021;Clément Bohic;Data;Machine Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
602;https://www.silicon.fr/capella-ombrelle-dbaas-couchbase-418905.html;Capella : la nouvelle ombrelle DBaaS de Couchbase;20/10/2021;La Rédaction;Data;Bases de données ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
641;https://www.silicon.fr/12-tendances-tech-2022-gartner-418886.html;Les 12 tendances Tech à suivre en 2022, selon Gartner;19/10/2021;Ariane Beky;Data;Machine Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
344;https://www.silicon.fr/sauvegarde-restauration-principaux-fournisseurs-413426.html;Sauvegarde et restauration : qui sont les principaux fournisseurs ?;19/10/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
797;https://www.silicon.fr/machine-learning-ibm-modelmesh-watson-kubeflow-418591.html;Machine learning : IBM pousse ModelMesh de Watson à Kubeflow;14/10/2021;Clément Bohic;Data;Machine Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
827;https://www.silicon.fr/big-data-marche-stockage-418280.html;Big data : comment évolue le marché du stockage ?;11/10/2021;Clément Bohic;Data;Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
376;https://www.silicon.fr/assured-workloads-google-cloud-angle-souverain-europe-418184.html;Assured Workloads : Google Cloud trouve un autre angle souverain en Europe;08/10/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
396;https://www.silicon.fr/data-ia-performance-les-acteurs-publics-418099.html;Data, IA et performance : où en sont les acteurs publics ?;07/10/2021;Ariane Beky;Data;Business Intelligence ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
984;https://www.silicon.fr/intelligence-artificielle-entreprises-tech-investissent-417620.html;Intelligence artificielle : les entreprises tech investissent massivement;30/09/2021;Ariane Beky;Data;Machine Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
971;https://www.silicon.fr/hpe-greenlake-protection-continue-donnees-417546.html;HPE GreenLake s’affirme dans la protection continue des données;29/09/2021;Ariane Beky;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
781;https://www.silicon.fr/oracle-exadata-x9m-417516.html;Oracle Exadata : qu’attendre de la génération X9M ?;29/09/2021;Clément Bohic;Data;Bases de données ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
170;https://www.silicon.fr/dossiers/intelligence-artificielle-9-bonnes-pratiques-pour-industrialiser-les-projets;Intelligence artificielle : 9 bonnes pratiques pour industrialiser les projets;27/09/2021;Xavier Biseul;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
218;https://www.silicon.fr/bi-amazon-quicksight-microsoft-langage-naturel-417319.html;BI : AWS rejoint Microsoft sur les requêtes en langage naturel;27/09/2021;Clément Bohic;Data;Business Intelligence ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
349;https://www.silicon.fr/brandvoice/suivre-une-formation-sur-power-bi-pour-obtenir-sa-certification-da-100;Suivre une formation sur Power BI pour obtenir sa certification DA-100;20/09/2021;Brand Voice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
832;https://www.silicon.fr/rubrik-john-murphy-rssi-global-field-416609.html;Data management : Rubrik nomme John Murphy RSSI « Global Field »;17/09/2021;Ariane Beky;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
352;https://www.silicon.fr/protection-donnees-entreprises-epreuve-416189.html;Protection des données : les entreprises mises à l’épreuve;13/09/2021;Ariane Beky;Data;Big Data ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
561;https://www.silicon.fr/brandvoice/science-des-donnees-intelligence-artificielle-ingenierie-du-big-data-quels-sont-les-debouches;Science des données, Intelligence Artificielle, ingénierie du Big Data : quels sont les débouchés ?;10/09/2021;Brandvoice;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
962;https://www.silicon.fr/brandvoice/apex-de-dell-technologies-linfrastructure-as-a-service-qui-apporte-simplicite-agilite-et-controle-a-linformatique;APEX de Dell Technologies : l’infrastructure « as-a-service » qui apporte simplicité, agilité et contrôle à l’informatique;07/09/2021;Dell;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
732;https://www.silicon.fr/rgpd-whatsapp-condamne-en-irelande-a-225-millions-e-415517.html;RGPD : WhatsApp condamné en Irelande à 225 millions €;03/09/2021;La Rédaction;Data;RGPD ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
560;https://www.silicon.fr/optinand-approche-disques-hybrides-415473.html;OptiNAND : une autre approche des disques hybrides;02/09/2021;Clément Bohic;Data;Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
